Integration Time (micros): 98000         
Min saturation: -188.99394239295856         
Max saturation: 916.0969101751331         
Wavelength (nm), Intensity (Counts)
4.040649508509524139e+02,3.379319346432022485e+03
4.042789699832405859e+02,3.394671166290884685e+03
4.044929748279051864e+02,3.385076278879095753e+03
4.047069653835630447e+02,3.346696729231940481e+03
4.049209416488312172e+02,3.456078445726333030e+03
4.051349036223265330e+02,3.390833211326169021e+03
4.053488513026659916e+02,3.363967526573160285e+03
4.055627846884664791e+02,3.339020819302509608e+03
4.057767037783449382e+02,3.358210594126087017e+03
4.059906085709184254e+02,3.536675499985359238e+03
4.062044990648035991e+02,3.362048549090802680e+03
4.064183752586177434e+02,3.371643436502591612e+03
4.066322371509775166e+02,3.404266053702673616e+03
4.068460847404999186e+02,3.371643436502591612e+03
4.070599180258019487e+02,3.423455828526251025e+03
4.072737370055004931e+02,3.450321513279259761e+03
4.074875416782124944e+02,3.348615706714298085e+03
4.077013320425549523e+02,3.379319346432022485e+03
4.079151080971447527e+02,3.467592310620479566e+03
4.081288698405987816e+02,3.438807648385113225e+03
4.083426172715340385e+02,3.333263886855436340e+03
4.085563503885674663e+02,3.360129571608444621e+03
4.087700691903158940e+02,3.417698896079177757e+03
4.089837736753963782e+02,3.365886504055518344e+03
4.091974638424258046e+02,3.465673333138121961e+03
4.094111396900211730e+02,3.410022986149746885e+03
4.096248012167993124e+02,3.400428098737957953e+03
4.098384484213771657e+02,3.268018652455272331e+03
4.100520813023718460e+02,3.463754355655763902e+03
4.102656998583999552e+02,3.394671166290884685e+03
4.104793040880787771e+02,3.340939796784867212e+03
4.106928939900250271e+02,3.365886504055518344e+03
4.109064695628557047e+02,3.385076278879095753e+03
4.111200308051878096e+02,3.429212760973324293e+03
4.113335777156381141e+02,3.325587976926005013e+03
4.115471102928237315e+02,3.363967526573160285e+03
4.117606285353614908e+02,3.410022986149746885e+03
4.119741324418683917e+02,3.438807648385113225e+03
4.121876220109613200e+02,3.454159468243975425e+03
4.124010972412571618e+02,3.448402535796902157e+03
4.126145581313729735e+02,3.371643436502591612e+03
4.128280046799256411e+02,3.440726625867470830e+03
4.130414368855320504e+02,3.369724459020233553e+03
4.132548547468092579e+02,3.331344909373078281e+03
4.134682582623739791e+02,3.340939796784867212e+03
4.136816474308434408e+02,3.429212760973324293e+03
4.138950222508343018e+02,3.410022986149746885e+03
4.141083827209637320e+02,3.315993089514216081e+03
4.143217288398484470e+02,3.388914233843811417e+03
4.145350606061056169e+02,3.379319346432022485e+03
4.147483780183519571e+02,3.477187198032268498e+03
4.149616810752045239e+02,3.456078445726333030e+03
4.151749697752802035e+02,3.335182864337793944e+03
4.153882441171959385e+02,3.467592310620479566e+03
4.156015040995687286e+02,3.417698896079177757e+03
4.158147497210154597e+02,3.488701062926415034e+03
4.160279809801530178e+02,3.352453661679013749e+03
4.162411978755984023e+02,3.386995256361453357e+03
4.164544004059685562e+02,3.396590143773242289e+03
4.166675885698803654e+02,3.425374806008608630e+03
4.168807623659508295e+02,3.417698896079177757e+03
4.170939217927967775e+02,3.415779918596820153e+03
4.173070668490352659e+02,3.363967526573160285e+03
4.175201975332831807e+02,3.371643436502591612e+03
4.177333138441574647e+02,3.340939796784867212e+03
4.179464157802749469e+02,3.456078445726333030e+03
4.181595033402527974e+02,3.392752188808526626e+03
4.183725765227077318e+02,3.344777751749582876e+03
4.185856353262567495e+02,3.386995256361453357e+03
4.187986797495167934e+02,3.363967526573160285e+03
4.190117097911048631e+02,3.402347076220315557e+03
4.192247254496377309e+02,3.346696729231940481e+03
4.194377267237325100e+02,3.339020819302509608e+03
4.196507136120060295e+02,3.367805481537875949e+03
4.198636861130753459e+02,3.306398202102427604e+03
4.200766442255572315e+02,3.352453661679013749e+03
4.202895879480687427e+02,3.362048549090802680e+03
4.205025172792267085e+02,3.292965359725923008e+03
